atan-vega-3-chunk-0120.smt2: "0.0001351170000000":str
atan-vega-3-chunk-0123.smt2: "0.0002472500000000":str
atan-vega-3-chunk-0131.smt2: "0.0003380730000000":str
atan-vega-3-chunk-0140.smt2: "0.0002153910000000":str
atan-vega-3-chunk-0146.smt2: "0.0000508610000000":str
atan-vega-3-chunk-0149.smt2: "0.0001045870000000":str
atan-vega-3-chunk-0150.smt2: "0.0003069140000000":str
atan-vega-3-chunk-0153.smt2: "0.0001363060000000":str
atan-vega-3-chunk-0155.smt2: "0.1317834810000000":str
atan-vega-3-chunk-0156.smt2: "0.1097456280000000":str
atan-vega-3-chunk-0160.smt2: "0.0932674360000000":str
atan-vega-3-chunk-0163.smt2: "0.1039176190000000":str
atan-vega-3-chunk-0166.smt2: "0.0001560070000000":str
atan-vega-3-chunk-0170.smt2: "0.1940137750000000":str
atan-vega-3-chunk-0172.smt2: "0.0004258940000000":str
atan-vega-3-chunk-0178.smt2: "0.0868617210000000":str
atan-vega-3-chunk-0184.smt2: "0.0002612930000000":str
atan-vega-3-chunk-0191.smt2: "0.0949050140000000":str
atan-vega-3-chunk-0193.smt2: "0.0964021400000000":str
atan-vega-3-chunk-0194.smt2: "0.0987458850000000":str
atan-vega-3-chunk-0197.smt2: "0.0979561370000000":str
atan-vega-3-chunk-0198.smt2: "0.0949783020000000":str
atan-vega-3-chunk-0199.smt2: "0.1000412440000000":str
atan-vega-3-chunk-0203.smt2: "0.0003756620000000":str
atan-vega-3-chunk-0205.smt2: "0.0001418950000000":str
atan-vega-3-chunk-0208.smt2: "0.0002466220000000":str
atan-vega-3-chunk-0214.smt2: "0.0002944090000000":str
atan-vega-3-chunk-0220.smt2: "0.0002122480000000":str
atan-vega-3-chunk-0224.smt2: "0.2110874890000000":str
atan-vega-3-chunk-0225.smt2: "0.0000520490000000":str
atan-vega-3-chunk-0227.smt2: "0.0902448350000000":str
atan-vega-3-chunk-0231.smt2: "0.1047620990000000":str
atan-vega-3-chunk-0237.smt2: "0.0002466920000000":str
atan-vega-3-chunk-0241.smt2: "0.0001238010000000":str
atan-vega-3-chunk-0242.smt2: "0.0004257550000000":str
atan-vega-3-chunk-0243.smt2: "0.0001744530000000":str
atan-vega-3-chunk-0247.smt2: "0.0002558440000000":str
atan-vega-3-chunk-0248.smt2: "0.0002551460000000":str
atan-vega-3-chunk-0250.smt2: "0.0003106190000000":str
atan-vega-3-chunk-0255.smt2: "0.0002893100000000":str
atan-vega-3-chunk-0257.smt2: "0.1048873660000000":str
atan-vega-3-chunk-0258.smt2: "0.0003707030000000":str
atan-vega-3-chunk-0262.smt2: "0.0001610380000000":str
atan-vega-3-chunk-0263.smt2: "0.0003017450000000":str
