atan-problem-2-weakT-chunk-0056.smt2: "0.0001750290000000":str
atan-problem-2-weakT-chunk-0059.smt2: "0.0004520300000000":str
atan-vega-3-chunk-0009.smt2: "0.1722768280000000":str
atan-vega-3-chunk-0012.smt2: "0.0857503520000000":str
atan-vega-3-chunk-0015.smt2: "0.1681368070000000":str
atan-vega-3-chunk-0017.smt2: "0.0925345800000000":str
atan-vega-3-chunk-0018.smt2: "0.1754115490000000":str
atan-vega-3-chunk-0020.smt2: "0.1946653070000000":str
atan-vega-3-chunk-0025.smt2: "0.0927859460000000":str
atan-vega-3-chunk-0026.smt2: "0.1931076130000000":str
atan-vega-3-chunk-0028.smt2: "0.0848685580000000":str
atan-vega-3-chunk-0030.smt2: "0.1877549090000000":str
atan-vega-3-chunk-0035.smt2: "0.0884513440000000":str
atan-vega-3-chunk-0043.smt2: "0.0993480560000000":str
atan-vega-3-chunk-0055.smt2: "0.0000734060000000":str
atan-vega-3-chunk-0059.smt2: "0.0004088670000000":str
atan-vega-3-chunk-0060.smt2: "0.0000514050000000":str
atan-vega-3-chunk-0064.smt2: "0.0922296950000000":str
atan-vega-3-chunk-0067.smt2: "0.0952833340000000":str
atan-vega-3-chunk-0069.smt2: "0.0945053370000000":str
atan-vega-3-chunk-0071.smt2: "0.0957131490000000":str
atan-vega-3-chunk-0077.smt2: "0.1838531150000000":str
atan-vega-3-chunk-0087.smt2: "0.0929522860000000":str
atan-vega-3-chunk-0092.smt2: "0.0001408060000000":str
atan-vega-3-chunk-0093.smt2: "0.0001066520000000":str
atan-vega-3-chunk-0094.smt2: "0.0002265740000000":str
atan-vega-3-chunk-0095.smt2: "0.1861145940000000":str
atan-vega-3-chunk-0097.smt2: "0.0933751210000000":str
atan-vega-3-chunk-0098.smt2: "0.0001244620000000":str
atan-vega-3-chunk-0102.smt2: "0.0002581430000000":str
atan-vega-3-chunk-0107.smt2: "0.0911171210000000":str
atan-vega-3-chunk-0111.smt2: "0.1845132510000000":str
atan-vega-3-chunk-0115.smt2: "0.0919062180000000":str
atan-vega-3-chunk-0120.smt2: "0.0001952140000000":str
atan-vega-3-chunk-0123.smt2: "0.0002141410000000":str
atan-vega-3-chunk-0131.smt2: "0.1883422380000000":str
atan-vega-3-chunk-0140.smt2: "0.0002295070000000":str
atan-vega-3-chunk-0146.smt2: "0.0000557350000000":str
atan-vega-3-chunk-0149.smt2: "0.0001403170000000":str
atan-vega-3-chunk-0150.smt2: "0.0001857150000000":str
atan-vega-3-chunk-0153.smt2: "0.0001311670000000":str
atan-vega-3-chunk-0155.smt2: "0.2282849480000000":str
atan-vega-3-chunk-0156.smt2: "0.0857970230000000":str
atan-vega-3-chunk-0160.smt2: "0.0926056920000000":str
atan-vega-3-chunk-0163.smt2: "0.0927269410000000":str
atan-vega-3-chunk-0166.smt2: "0.0001566600000000":str
atan-vega-3-chunk-0170.smt2: "0.3925501020000000":str
atan-vega-3-chunk-0172.smt2: "0.0003337150000000":str
atan-vega-3-chunk-0178.smt2: "0.0898694150000000":str
atan-vega-3-chunk-0184.smt2: "0.1963143800000000":str
atan-vega-3-chunk-0191.smt2: "0.0902120560000000":str
atan-vega-3-chunk-0193.smt2: "0.0894578810000000":str
atan-vega-3-chunk-0194.smt2: "0.0963729210000000":str
atan-vega-3-chunk-0197.smt2: "0.0882924650000000":str
atan-vega-3-chunk-0198.smt2: "0.0958126330000000":str
atan-vega-3-chunk-0199.smt2: "0.1019496810000000":str
atan-vega-3-chunk-0203.smt2: "0.0002266430000000":str
atan-vega-3-chunk-0205.smt2: "0.0001583360000000":str
atan-vega-3-chunk-0208.smt2: "0.0002550010000000":str
atan-vega-3-chunk-0214.smt2: "0.0002526250000000":str
atan-vega-3-chunk-0220.smt2: "0.0002472470000000":str
atan-vega-3-chunk-0224.smt2: "0.3834824990000000":str
atan-vega-3-chunk-0225.smt2: "0.0000538490000000":str
atan-vega-3-chunk-0227.smt2: "0.0930555290000000":str
atan-vega-3-chunk-0231.smt2: "0.1924182470000000":str
atan-vega-3-chunk-0237.smt2: "0.0002189600000000":str
